feature_extractor,model,target,auroc_diff
ctranspath,Transformer,lymph,0.21277577
ctranspath,Transformer,lymph,0.1428572
ctranspath,Transformer,lymph,0.09604776
ctranspath,Transformer,lymph,0.080213904
ctranspath,Transformer,lymph,0.073140025
ctranspath,Transformer,lymph,0.07374996
ctranspath,Transformer,lymph,0.11823064
ctranspath,Transformer,lymph,0.116995156
ctranspath,Transformer,lymph,0.09186804
ctranspath,Transformer,lymph,-0.011769474
ctranspath,Transformer,lymph,-0.07035613
ctranspath,Transformer,lymph,0.023003459
ctranspath,Transformer,lymph,0.011718631
ctranspath,Transformer,lymph,-0.011153936
ctranspath,Transformer,lymph,-0.00768888
ctranspath,Transformer,lymph,-0.042207837
ctranspath,Transformer,lymph,-0.022500038
ctranspath,Transformer,lymph,0.0054644346
ctranspath,Transformer,lymph,0.01570046
ctranspath,Transformer,lymph,0.013285041
ctranspath,Transformer,lymph,-0.030048072
ctranspath,Transformer,lymph,0.01953113
ctranspath,Transformer,lymph,-0.0024631023
ctranspath,Transformer,lymph,-0.12808084
ctranspath,Transformer,lymph,-0.06570512
ctranspath,Transformer,lymph,0.017543912
ctranspath,Transformer,lymph,-0.053221345
ctranspath,Transformer,lymph,0.08374387
ctranspath,Transformer,lymph,0.017234087
ctranspath,Transformer,lymph,0.03549564
ctranspath,Transformer,lymph,0.020114899
ctranspath,Transformer,lymph,0.037214875
ctranspath,Transformer,lymph,0.0032467246
ctranspath,Transformer,lymph,-0.005233526
ctranspath,Transformer,lymph,-0.014713407
ctranspath,Transformer,lymph,-0.052257776
ctranspath,Transformer,lymph,0.04213339
ctranspath,Transformer,lymph,-0.0437333
ctranspath,Transformer,lymph,0.028330266
ctranspath,Transformer,lymph,0.065565765
ctranspath,Transformer,lymph,-0.007796228
ctranspath,Transformer,lymph,0.031704783
ctranspath,Transformer,lymph,0.036130488
ctranspath,Transformer,lymph,-0.07001698
ctranspath,Transformer,lymph,-0.015592456
ctranspath,Transformer,lymph,-0.037296116
ctranspath,Transformer,lymph,-0.0067750216
ctranspath,Transformer,lymph,-0.014291644
ctranspath,Transformer,lymph,-0.019188643
ctranspath,Transformer,lymph,0.047794044
ctranspath,Transformer,lymph,-0.06600821
ctranspath,Transformer,lymph,-0.0053333044
ctranspath,Transformer,lymph,0.01627481
ctranspath,Transformer,lymph,0.100663066
ctranspath,Transformer,lymph,-0.005866587
ctranspath,Transformer,lymph,-0.029761791
ctranspath,Transformer,lymph,-0.010163724
ctranspath,Transformer,lymph,-0.03787875
ctranspath,Transformer,lymph,-0.015899181
ctranspath,Transformer,lymph,0.0
ctranspath,Transformer,lymph,-0.0259341
ctranspath,Transformer,lymph,0.0030030608
ctranspath,Transformer,lymph,0.007215619
ctranspath,Transformer,lymph,-0.021449983
ctranspath,Transformer,lymph,0.009009004
ctranspath,Transformer,lymph,-0.03676474
ctranspath,Transformer,lymph,0.032682538
ctranspath,Transformer,lymph,0.021257281
ctranspath,Transformer,lymph,-0.016250014
ctranspath,Transformer,lymph,0.0038610697
ctranspath,Transformer,lymph,0.0
ctranspath,Transformer,lymph,0.005148053
ctranspath,Transformer,lymph,-0.0016977787
ctranspath,Transformer,lymph,-0.0417583
ctranspath,Transformer,lymph,-0.017795086
ctranspath,Transformer,lymph,-0.0024009347
ctranspath,Transformer,lymph,0.0052334666
ctranspath,Transformer,lymph,0.0
ctranspath,Transformer,lymph,0.010748208
ctranspath,Transformer,lymph,-0.01164192
ctranspath,Transformer,lymph,-0.0052524805
ctranspath,Transformer,lymph,0.00525254
ctranspath,Transformer,lymph,-0.00086814165
ctranspath,Transformer,lymph,-0.03959596
ctranspath,Transformer,lymph,-0.05744487
ctranspath,Transformer,lymph,-0.011250019
ctranspath,Transformer,lymph,-0.023398995
ctranspath,Transformer,lymph,0.031083107
ctranspath,Transformer,lymph,-0.08888888
ctranspath,Transformer,lymph,-0.008333325
ctranspath,Transformer,lymph,-0.00880003
ctranspath,Transformer,lymph,-0.016934156
ctranspath,Transformer,lymph,-0.057471275
ctranspath,Transformer,lymph,-0.03733772
ctranspath,Transformer,lymph,-0.019965291
ctranspath,Transformer,lymph,-0.010748327
ctranspath,Transformer,lymph,-0.034926534
ctranspath,Transformer,lymph,-0.020883918
ctranspath,Transformer,lymph,-0.030833364
ctranspath,Transformer,lymph,-0.016703308
ctranspath,Transformer,lymph,-0.043758035
ctranspath,Transformer,lymph,-0.02181828
ctranspath,Transformer,lymph,-0.014166653
ctranspath,Transformer,lymph,-0.02000004
ctranspath,Transformer,lymph,-0.07335907
