feature_extractor,,,bt,bt,ctranspath,ctranspath,dino_p16,dino_p16,owkin,owkin,resnet50,resnet50,retccl,retccl,swav,swav,swin,swin,vit,vit,vits,vits
stats,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
augmentations,model,target,,,,,,,,,,,,,,,,,,,,
Macenko_patchwise,AttentionMIL,subtype,0.11309125185012861,0.04053054327390941,0.0013496255874635003,0.0037165542502400227,0.04430104255676493,0.03204392085140533,0.10980601072310905,0.030453357458674776,0.17176015138626843,0.035164316732447576,0.08524267435073765,0.03904103385351536,0.05431663751602862,0.02841936044293231,0.07968046426774113,0.030228426428610317,0.10532052278517598,0.03910335668772688,0.09736666440963448,0.031644253328689476
Macenko_patchwise,MeanAveragePooling,BRAF,0.18195476055146362,0.025563175678569694,0.0707180690765413,0.038852405355858904,0.0007712793350219762,0.0029114830576275597,0.08986702680589105,0.03343413237592334,0.21293882846832185,0.04466340544991374,0.13647605895998843,0.04872863487315988,0.042859025001526295,0.032427715521111594,0.1467819166183589,0.03991031606833987,0.1592153978347808,0.05609878776618492,0.21686167836191944,0.05757523942331615
Macenko_patchwise,MeanAveragePooling,CDH1,0.021220006973269378,0.008220506973939643,0.005229165584563931,0.006417824374765228,0.016536977321627604,0.01178208047306034,0.009112646610259713,0.009221001663360071,0.10974086764526202,0.04416466183473552,0.01687964442444044,0.007457754621415285,0.019278266460419413,0.011021031001532983,0.12413262370301974,0.020540390699864075,0.08781054261398302,0.007702260407124065,0.05377283337783883,0.036653761447678034
Macenko_patchwise,MeanAveragePooling,KRAS,0.022099388233489774,0.02869333835589305,0.09165646492607633,0.05087018643816039,0.07157386600142988,0.035237976660896314,0.05070298968917274,0.027908724361009003,0.025290084472961768,0.02569390199205773,0.05032763539917421,0.04544945134682346,0.15498228131895445,0.01606493779335309,0.04176908790237571,0.03323366532749812,0.10119102059967484,0.05486502481098197,0.01575555860168372,0.014047388568020992
Macenko_patchwise,MeanAveragePooling,MSI,0.10887736940382634,0.03783881663509147,0.0285789933204652,0.029545506040426172,0.041799184322349206,0.03849056697289954,0.01690205001831127,0.02583619071691019,0.14735471868516445,0.04901626053601016,0.04200495147705469,0.027873656122602293,0.11813660526276193,0.03253892301760561,0.11278682613372755,0.03407478312915056,0.17024566793442839,0.037622660978130065,0.1655131664276129,0.03132338964414714
Macenko_patchwise,MeanAveragePooling,PIK3CA,0.05247346033936001,0.013294626950231508,0.00813063254241858,0.010440067842477918,0.03641633858566735,0.017651275870054436,0.08033063282853246,0.036777830910697785,0.028130601548004865,0.012455437978131312,0.029216335915375036,0.012755895361390292,0.11601633896713338,0.011071122401035272,0.011216317318725924,0.00784179158541466,0.030387769841006322,0.014115629505327729,0.015416334770966681,0.0166917471415797
Macenko_patchwise,MeanAveragePooling,SMAD4,0.004533647499084298,0.007525757847299164,0.04716489215851331,0.016054307909136218,0.032553874454496416,0.023661299984691086,0.06632996698379112,0.06180601677350848,0.10788594981193078,0.0966650450126398,0.032364093265533994,0.00845764238720712,0.08638057609557961,0.02220320590074265,0.042104791603089796,0.010716124572931598,0.023635446033476983,0.023536666106894727,0.0744261254882748,0.03971846035636757
Macenko_patchwise,MeanAveragePooling,TP53,0.031057123671725247,0.02721059538185167,0.01843085719222891,0.02483785596372819,0.044917945395661955,0.04428128896786182,0.11489555073853469,0.03161143395623012,0.0747720642196686,0.02505139445453623,0.045956127177429945,0.02907444183283269,0.03607957793350106,0.024610388123253862,0.11304367018815062,0.03913212638667399,0.06613010598298123,0.02824657497040305,0.0875386161911118,0.052720296722486154
Macenko_patchwise,MeanAveragePooling,lymph,0.17957007914846876,0.11515385934019616,0.17796295911141025,0.10352445154040056,0.11265264779393473,0.11939642052449463,0.16231521397892837,0.14550540079090674,0.22033264666859678,0.10771232956476655,0.13865072757071714,0.09806812195058821,0.12070516377752896,0.11187893965721953,0.19790463477439474,0.10947415175149015,0.16561737090414128,0.10268056938755003,0.17313796311683088,0.121948674503069
Macenko_patchwise,MeanAveragePooling,subtype,0.05600019693374963,0.0346037183559581,0.0,0.0,0.04511345624924321,0.009027983753874591,0.10992932319641502,0.0063692735558993525,0.07547754049302029,0.003895000988890032,0.012317001819611016,0.0036279061255843044,0.06172461509704147,0.0031197944242794336,0.06469416618347287,0.008129511908197214,0.029863333702088424,0.0036674107165718165,0.06031028032302751,0.005036033104977545
