target,train_dataset,test_dataset,model,feature_extractor,augmentations,seed,train_auroc,val_auroc,test_auroc
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,ctranspath,simple_rotate,4,0.8311320543289185,0.794001579284668,0.8046830892562866
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,dino_p16,Macenko_patchwise,0,0.8248741626739502,0.782951831817627,0.7898343801498413
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,dino_p16,Macenko_patchwise,1,0.7786368131637573,0.7744672298431396,0.8052541017532349
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,dino_p16,Macenko_patchwise,2,0.809344470500946,0.7475335597991943,0.7749857902526855
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,dino_p16,Macenko_patchwise,3,0.792365550994873,0.7926203608512878,0.7869788408279419
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,dino_p16,Macenko_patchwise,4,0.8313261866569519,0.7727900743484497,0.8041119575500488
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,dino_p16,Macenko_slidewise,0,0.6425565481185913,0.747336208820343,0.7641347646713257
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,dino_p16,Macenko_slidewise,1,0.7784246206283569,0.7880820631980896,0.7909766435623169
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,dino_p16,Macenko_slidewise,2,0.813698410987854,0.7899565696716309,0.7795544862747192
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,dino_p16,Macenko_slidewise,3,0.848929762840271,0.7880820631980896,0.732153058052063
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,dino_p16,Macenko_slidewise,4,0.760299563407898,0.7514798641204834,0.7852655649185181
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,dino_p16,all,0,0.6654478311538696,0.8133386373519897,0.7424328327178955
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,dino_p16,all,1,0.7973925471305847,0.7809786796569824,0.81610506772995
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,dino_p16,all,2,0.8201079368591309,0.8034727573394775,0.7784123420715332
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,dino_p16,all,3,0.7926687002182007,0.7882794141769409,0.7412906885147095
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,dino_p16,all,4,0.839536726474762,0.796665370464325,0.7772700786590576
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,dino_p16,none,0,0.8429628610610962,0.8099842071533203,0.7995431423187256
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,dino_p16,none,1,0.7632344961166382,0.7443764805793762,0.8352369666099548
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,dino_p16,none,2,0.8696622848510742,0.7675611972808838,0.7806967496871948
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,dino_p16,none,3,0.7884300351142883,0.7880820631980896,0.7144489288330078
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,dino_p16,none,4,0.8243223428726196,0.8078137040138245,0.7769845724105835
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,dino_p16,simple_rotate,0,0.8258201479911804,0.8121547102928162,0.8275271654129028
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,dino_p16,simple_rotate,1,0.7982839345932007,0.7748618721961975,0.7681324481964111
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,dino_p16,simple_rotate,2,0.8196167945861816,0.7541437149047852,0.7441462278366089
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,dino_p16,simple_rotate,3,0.790940523147583,0.7898579835891724,0.7447172999382019
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,dino_p16,simple_rotate,4,0.8271299600601196,0.7822611927986145,0.774985671043396
