magnification,feature_extractor,model,target,train_dataset,test_dataset,auroc_diff
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.32961315
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.27893737
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.20744678
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.23888892
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.388
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.026595742
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.3005556
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.19348401
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.46003395
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.14190823
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.089990795
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.20599252
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.32397956
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.28710124
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.0057836473
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.039855063
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.003019333
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.0033333302
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.06582126
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.11662078
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.041223377
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.12074828
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.05052632
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.04699999
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.08485329
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.1636905
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.07843137
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.03457445
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.07722223
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.18699998
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.027925551
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.07277778
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.05784571
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.15391153
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.059782624
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.110192835
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.07918677
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.0943878
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.14840496
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.012724161
