magnification,feature_extractor,model,target,train_dataset,test_dataset,auroc_diff
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.029190898
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.07311213
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.010309339
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.02501309
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.022222161
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.043800592
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.092739046
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.047401488
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.0033684373
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.04850006
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.008000016
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.09495187
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.02813965
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.00850004
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.0754717
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.041417778
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.049114823
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.0059999228
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.04086733
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.047272682
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.04706794
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.004717052
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.004168868
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.01579523
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.08571422
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.0033361316
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.033670068
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.012550473
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.0031266212
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.015238106
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.030997276
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.024442852
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.07252991
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.100631595
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.17949998
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.023999989
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.025841355
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.05732149
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.046000004
