feature_extractor,model,magnification,target,auroc_diff
swin,AttentionMIL,low,MSI,-0.018829405
swin,AttentionMIL,low,MSI,-0.03824973
swin,AttentionMIL,low,MSI,-0.023555517
swin,AttentionMIL,low,MSI,-0.00010704994
swin,AttentionMIL,low,MSI,-0.061764717
swin,AttentionMIL,low,MSI,-0.01564157
swin,AttentionMIL,low,MSI,-0.04668677
swin,AttentionMIL,low,MSI,-0.032435715
swin,AttentionMIL,low,MSI,-0.08951759
swin,AttentionMIL,low,MSI,-0.044634342
swin,AttentionMIL,low,MSI,-0.03571427
swin,AttentionMIL,low,MSI,-0.01543206
swin,AttentionMIL,low,MSI,-0.041409492
swin,AttentionMIL,low,MSI,-0.012250423
swin,AttentionMIL,low,MSI,-0.0445472
swin,AttentionMIL,low,MSI,-0.04352945
swin,AttentionMIL,low,MSI,-0.042195976
swin,AttentionMIL,low,MSI,0.033499956
swin,AttentionMIL,low,SMAD4,0.027260542
swin,AttentionMIL,low,SMAD4,0.12846947
swin,AttentionMIL,low,SMAD4,-0.06998265
swin,AttentionMIL,low,SMAD4,0.15543222
swin,AttentionMIL,low,SMAD4,0.15399998
swin,AttentionMIL,low,SMAD4,0.11607146
swin,AttentionMIL,low,SMAD4,0.034999967
swin,AttentionMIL,low,SMAD4,-0.008454084
swin,AttentionMIL,low,SMAD4,-0.06722224
swin,AttentionMIL,low,SMAD4,0.048537254
swin,AttentionMIL,low,SMAD4,-0.035087705
swin,AttentionMIL,low,SMAD4,-0.0039893985
swin,AttentionMIL,low,SMAD4,0.076462805
swin,AttentionMIL,low,SMAD4,0.1692177
swin,AttentionMIL,low,SMAD4,0.058683634
swin,AttentionMIL,low,SMAD4,0.058415234
swin,AttentionMIL,low,SMAD4,-0.05133927
swin,AttentionMIL,low,SMAD4,0.12944445
swin,AttentionMIL,low,SMAD4,-0.04132235
swin,AttentionMIL,low,SMAD4,0.030075222
swin,AttentionMIL,low,SMAD4,0.15702477
swin,AttentionMIL,low,SMAD4,0.0765115
swin,AttentionMIL,low,SMAD4,0.039979994
swin,AttentionMIL,low,SMAD4,0.0139153
swin,AttentionMIL,low,SMAD4,0.08842105
swin,AttentionMIL,low,SMAD4,0.03523934
swin,AttentionMIL,low,SMAD4,0.14988104
swin,AttentionMIL,low,SMAD4,-0.05436665
swin,AttentionMIL,low,SMAD4,0.12212527
swin,AttentionMIL,low,SMAD4,0.076000005
swin,AttentionMIL,low,SMAD4,0.055059552
swin,AttentionMIL,low,SMAD4,0.054444432
swin,AttentionMIL,low,SMAD4,-0.03019315
swin,AttentionMIL,low,SMAD4,-0.096666574
swin,AttentionMIL,low,SMAD4,0.055851102
swin,AttentionMIL,low,SMAD4,-0.04631579
swin,AttentionMIL,low,SMAD4,-0.06848407
