feature_extractor,,,,bt,bt,ctranspath,ctranspath,dino_p16,dino_p16,mocov2,mocov2,owkin,owkin,owkin_teacher,owkin_teacher,resnet50,resnet50,retccl,retccl,swav,swav,swin,swin,uni,uni,vit,vit,vitl,vitl,vits,vits
stats,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
magnification,augmentations,model,target,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high,Macenko_patchwise,AttentionMIL,subtype,0.16079363822879678,0.02746445320545495,0.034376025199891,0.01722118326474785,0.09448112249358628,0.01194875156630052,0.08796072006224771,0.019099254465695433,0.10212339162795984,0.03013296271482889,0.0722303152084412,0.023847263857342607,0.1875167131421421,0.01461397934667357,0.0929232478140871,0.025468598568961144,0.11840546131211746,0.012304334112914123,0.14244493246070603,0.021712546237869158,0.0,0.0,0.1727512478844626,0.023911495619208124,0.18930284976966769,0.020016361155849142,0.20972013473403414,0.025002525242518964
high,none,AttentionMIL,BRAF,0.2847949152920575,0.042730729957611985,0.09210876283646013,0.025908708825138706,0.03359813747405397,0.03074822305527756,0.1498215323448256,0.04409125867785719,0.08353165445327736,0.05110639685689223,0.013651311969756837,0.02117575679387552,0.13785344419480183,0.04691305533054888,0.28545984087183823,0.026094371421843884,0.10780025777816152,0.042324050045164645,0.13266729173666947,0.04224666560547671,0.049954522228241566,0.04220390142350382,0.10873111543656727,0.025209944544287585,0.12694919166874344,0.052350725015283574,0.16478164253313204,0.06351684381541463
high,none,AttentionMIL,CDH1,0.15695346929690757,0.020627071073899116,0.11623388864642996,0.050757239118876314,0.11880383827336963,0.03623031436165737,0.15421219207902923,0.027788869789064852,0.0455885443887617,0.03442756568538965,0.027655926724425184,0.03787358319818526,0.1463309917654518,0.05160650172595416,0.10612537004587183,0.024983432829402335,0.13536579944739274,0.018225514718573206,0.04798716642474304,0.042414315764420465,0.0932755623063741,0.034027418156837144,0.052898660679808425,0.023798139410357314,0.07494318821047306,0.036646215530000574,0.0351944599351836,0.024333044478527993
high,none,AttentionMIL,KRAS,0.20927874771159047,0.0657893084178337,0.1059754344561243,0.035283302724658364,0.05638833967239559,0.03241691436729002,0.06490937200576916,0.026572296071294695,0.04366312948257492,0.03203845822546282,0.05454898801834229,0.029080797692725542,0.18255201307325608,0.017006638371727948,0.051189372215577615,0.03239022158261246,0.1188883635144085,0.04483709624349657,0.11941388574613086,0.05495756617995678,0.012244221840209882,0.015571785394506628,0.07981177297623668,0.07017849150779121,0.0812757226565543,0.04616268373410275,0.11907601085694844,0.02490401174693202
high,none,AttentionMIL,MSI,0.3136096461864272,0.03101659417297054,0.11474131189342524,0.06340495421663973,0.0060993417358391295,0.012346352304652863,0.12425778947825891,0.046208883814517716,0.03542032085418836,0.022819663394874855,0.025698099956513364,0.02011674805785756,0.16597589097969248,0.04176510735507934,0.1953997715564675,0.04367244926621241,0.10934008203476475,0.04325285805603749,0.17122278057095666,0.0481647032875236,0.04853762231826433,0.020061020278959587,0.08089358650207569,0.04342458230951802,0.1625293954428402,0.08769558959194511,0.14293062530192102,0.03256047386723971
high,none,AttentionMIL,PIK3CA,0.18684831036972968,0.021754438348342082,0.06321975960150408,0.029957805590419696,0.057191178935913106,0.03777187724460057,0.04484832062139627,0.02601257732159831,0.07319117559805227,0.046407994109322205,0.09544832481753691,0.04490675761146282,0.01939116491690009,0.028910671240050045,0.1641340233265052,0.04858838142271444,0.09399115814579684,0.046878262684930797,0.08001975788489386,0.023620563305481363,0.10624832882298653,0.03247428427104595,0.07007689251319016,0.045718288699097547,0.07944829239264188,0.04769542744820008,0.08436261190786763,0.035458152124638195
high,none,AttentionMIL,SMAD4,0.0809921748169415,0.058056304055769274,0.03469237155995061,0.03206934393066893,0.019638598633616566,0.029022199423617112,0.050884664727062635,0.03108825714545154,0.10041025943837852,0.05892391599011802,0.0887720710762427,0.05623736064849066,0.22786127395943281,0.05832566761215724,0.0809922105797234,0.034704602586675105,0.07599537439427007,0.04436580205436752,0.11527427501844636,0.03172668969891717,0.05531226463398566,0.039852839640680864,0.059992838574261985,0.040782356468533426,0.09579293794713098,0.03544462122350408,0.10078978010546497,0.06327229566341667
high,none,AttentionMIL,TP53,0.14632067088636966,0.11936376914839243,0.024266773505400314,0.022903691394473756,0.03720168475646929,0.019582829952330932,0.06410965327759335,0.015152725529219778,0.06548449401398017,0.04047275998125175,0.047414904875947635,0.035961451894829626,0.1622858703571189,0.041784587600943605,0.13431168202918067,0.029843134643627124,0.07651144866484097,0.03498197881019437,0.19842502479152116,0.04998410433462419,0.010181468768311865,0.015030440585681142,0.12956981067214354,0.03390537942430362,0.1785877526238757,0.0744433300680396,0.1865282834012167,0.06712674148936168
high,none,AttentionMIL,lymph,0.5282864816698278,0.057975638005787276,0.0868392475128151,0.04535250530130702,0.04900162296295165,0.024314857655283673,0.08465162591934679,0.04857780745044808,0.03073256092071531,0.024437159362213405,0.03334254102707115,0.026913681909872183,0.16583077983846795,0.03706733568877494,0.14244698362340374,0.06609561421236237,0.07632215099334451,0.048785643236358964,0.2224848874111357,0.07247710349324905,0.004958225059509997,0.009934203312488876,0.18666511850337056,0.08000576781891827,0.13657181339268612,0.06256011469917964,0.22460527496385324,0.103101661301157
high,none,AttentionMIL,subtype,0.1676843857758635,0.03655560383570565,0.002194700241089158,0.004839079074341147,0.055466673374177274,0.017231696002091467,0.052531085014343094,0.01336698103356871,0.04211238384246724,0.010323527093423933,0.03283855676651519,0.011965283489593631,0.17143056154200634,0.033169517792191516,0.08521477937697688,0.012647865360623302,0.1055111145976384,0.008323784330984175,0.12394708156513166,0.009766360456294101,0.006999835968017433,0.007551195091053406,0.12715643405931742,0.015128298364353428,0.17620541810316448,0.020082409150059478,0.13236776351943633,0.016887825443783692
