train_dataset,test_dataset,target,feature_extractor,model,mean,std,ci_lo,ci_hi
tcga_brca_CDH1,cptac_brca_CDH1,CDH1,dino_p16,AttentionMIL,-0.010124059,0.044956844,-0.10946827828884124,0.06320213675498962
tcga_brca_PIK3CA,cptac_brca_PIK3CA,PIK3CA,ctranspath,Transformer,-0.02186967,0.08483839,-0.18236839324235915,0.1281118407845497
tcga_brca_PIK3CA,cptac_brca_PIK3CA,PIK3CA,ctranspath,MeanAveragePooling,0.013593986,0.02324753,-0.028988873958587645,0.05969020277261733
tcga_brca_PIK3CA,cptac_brca_PIK3CA,PIK3CA,ctranspath,AttentionMIL,0.01975896,0.035193976,-0.05597962439060211,0.09266253262758253
tcga_brca_PIK3CA,cptac_brca_PIK3CA,PIK3CA,swin,Transformer,-0.0062883655,0.05662971,-0.12647089809179307,0.09812221527099609
tcga_brca_PIK3CA,cptac_brca_PIK3CA,PIK3CA,swin,MeanAveragePooling,-0.01808026,0.032889664,-0.09635591208934784,0.035304212570190424
tcga_brca_PIK3CA,cptac_brca_PIK3CA,PIK3CA,swin,AttentionMIL,0.003571305,0.050128017,-0.08834377825260162,0.10372290164232253
tcga_brca_PIK3CA,cptac_brca_PIK3CA,PIK3CA,owkin,Transformer,-0.012660134,0.059402365,-0.13533103168010713,0.09405378848314284
tcga_brca_PIK3CA,cptac_brca_PIK3CA,PIK3CA,owkin,MeanAveragePooling,0.025920713,0.043922633,-0.05655041933059692,0.11395991966128349
tcga_brca_PIK3CA,cptac_brca_PIK3CA,PIK3CA,owkin,AttentionMIL,-0.018043144,0.04085287,-0.09784483313560485,0.06286978274583815
tcga_brca_PIK3CA,cptac_brca_PIK3CA,PIK3CA,vit,Transformer,-0.044046592,0.04544167,-0.13916922137141227,0.050319446623325326
tcga_brca_PIK3CA,cptac_brca_PIK3CA,PIK3CA,vit,MeanAveragePooling,-0.03998124,0.03498705,-0.11517185270786286,0.023751643300056434
tcga_brca_PIK3CA,cptac_brca_PIK3CA,PIK3CA,vit,AttentionMIL,-0.023743449,0.045252472,-0.10043173581361771,0.06846306174993515
tcga_brca_PIK3CA,cptac_brca_PIK3CA,PIK3CA,resnet50,Transformer,0.015295571,0.06703019,-0.0971937894821167,0.14845832437276837
tcga_brca_PIK3CA,cptac_brca_PIK3CA,PIK3CA,resnet50,MeanAveragePooling,0.010120717,0.026546005,-0.04918585568666458,0.05400131344795227
tcga_brca_PIK3CA,cptac_brca_PIK3CA,PIK3CA,resnet50,AttentionMIL,0.023891537,0.052046083,-0.06786270886659622,0.14403932392597193
tcga_brca_PIK3CA,cptac_brca_PIK3CA,PIK3CA,retccl,Transformer,-0.050352473,0.08414465,-0.2366449937224388,0.09147586822509765
tcga_brca_PIK3CA,cptac_brca_PIK3CA,PIK3CA,retccl,MeanAveragePooling,-0.01757624,0.031988718,-0.08336744159460067,0.0356470301747322
tcga_brca_PIK3CA,cptac_brca_PIK3CA,PIK3CA,retccl,AttentionMIL,-0.0040398976,0.034731474,-0.0722730278968811,0.06773940026760099
tcga_brca_PIK3CA,cptac_brca_PIK3CA,PIK3CA,bt,Transformer,-0.0029626493,0.052381806,-0.10647003650665283,0.10823344886302946
tcga_brca_PIK3CA,cptac_brca_PIK3CA,PIK3CA,bt,MeanAveragePooling,-0.0022893145,0.01321061,-0.030860541760921477,0.02069565951824188
tcga_brca_PIK3CA,cptac_brca_PIK3CA,PIK3CA,bt,AttentionMIL,0.02042348,0.04630912,-0.06345258206129074,0.11052020937204361
tcga_brca_PIK3CA,cptac_brca_PIK3CA,PIK3CA,swav,Transformer,-0.040706083,0.07969098,-0.19826666563749312,0.11490205824375152
tcga_brca_PIK3CA,cptac_brca_PIK3CA,PIK3CA,swav,MeanAveragePooling,0.021374626,0.027657751,-0.030824054777622224,0.07741743326187134
tcga_brca_PIK3CA,cptac_brca_PIK3CA,PIK3CA,swav,AttentionMIL,-0.04577434,0.06216799,-0.15884207114577292,0.08680680692195883
tcga_brca_PIK3CA,cptac_brca_PIK3CA,PIK3CA,dino_p16,Transformer,-0.008180593,0.04440754,-0.10654045641422272,0.0670770987868309
tcga_brca_PIK3CA,cptac_brca_PIK3CA,PIK3CA,dino_p16,MeanAveragePooling,-0.002308342,0.032315042,-0.06364727169275283,0.055673261731863016
tcga_brca_PIK3CA,cptac_brca_PIK3CA,PIK3CA,dino_p16,AttentionMIL,0.016000153,0.031127986,-0.04169478416442871,0.08045353442430495
tcga_brca_TP53,cptac_brca_TP53,TP53,ctranspath,Transformer,-0.010520618,0.03927824,-0.09106645733118057,0.057141731679439534
tcga_brca_TP53,cptac_brca_TP53,TP53,ctranspath,MeanAveragePooling,0.02179778,0.028481063,-0.03306272029876709,0.07714912891387939
tcga_brca_TP53,cptac_brca_TP53,TP53,ctranspath,AttentionMIL,0.023976108,0.023223305,-0.01661329120397568,0.07389583587646484
tcga_brca_TP53,cptac_brca_TP53,TP53,swin,Transformer,-0.00457784,0.071787745,-0.12433610260486602,0.14575403630733488
tcga_brca_TP53,cptac_brca_TP53,TP53,swin,MeanAveragePooling,0.0039524822,0.027503243,-0.04742299318313599,0.05747986882925033
tcga_brca_TP53,cptac_brca_TP53,TP53,swin,AttentionMIL,-0.06681668,0.06876852,-0.22765259370207785,0.026031029224395735
tcga_brca_TP53,cptac_brca_TP53,TP53,owkin,Transformer,0.014057661,0.04404631,-0.07063538134098053,0.10254477858543394
tcga_brca_TP53,cptac_brca_TP53,TP53,owkin,MeanAveragePooling,0.03401388,0.055224683,-0.06253889799118041,0.14904228448867798
tcga_brca_TP53,cptac_brca_TP53,TP53,owkin,AttentionMIL,0.016131723,0.05413864,-0.09738668501377105,0.10407209694385523
tcga_brca_TP53,cptac_brca_TP53,TP53,vit,Transformer,-0.0043074475,0.065864354,-0.11839579790830612,0.12305988818407057
tcga_brca_TP53,cptac_brca_TP53,TP53,vit,MeanAveragePooling,0.018704155,0.023267861,-0.028750412166118622,0.0630671501159668
tcga_brca_TP53,cptac_brca_TP53,TP53,vit,AttentionMIL,-0.007822054,0.035371322,-0.08600381314754486,0.05541348457336426
tcga_brca_TP53,cptac_brca_TP53,TP53,resnet50,Transformer,0.06864789,0.045378227,-0.022857196629047394,0.15367168709635734
tcga_brca_TP53,cptac_brca_TP53,TP53,resnet50,MeanAveragePooling,0.014428155,0.026023224,-0.03827860951423645,0.05977139770984649
tcga_brca_TP53,cptac_brca_TP53,TP53,resnet50,AttentionMIL,0.045045447,0.03373044,-0.03325471431016922,0.10053408741950988
tcga_brca_TP53,cptac_brca_TP53,TP53,retccl,Transformer,0.0337264,0.065301776,-0.09167006462812423,0.15714595317840577
tcga_brca_TP53,cptac_brca_TP53,TP53,retccl,MeanAveragePooling,0.012766601,0.029451763,-0.03388981819152832,0.0705563485622406
tcga_brca_TP53,cptac_brca_TP53,TP53,retccl,AttentionMIL,-0.020670539,0.033339646,-0.0874489814043045,0.04015152156352994
tcga_brca_TP53,cptac_brca_TP53,TP53,bt,Transformer,0.010721423,0.016585713,-0.02282280623912811,0.04440155476331711
tcga_brca_TP53,cptac_brca_TP53,TP53,bt,MeanAveragePooling,0.02896164,0.06969488,-0.09892883598804474,0.1614252433180809
tcga_brca_TP53,cptac_brca_TP53,TP53,bt,AttentionMIL,-0.0029028896,0.02496899,-0.044930167496204376,0.05263989269733424
tcga_brca_TP53,cptac_brca_TP53,TP53,swav,Transformer,-0.030274738,0.03887574,-0.10420216470956803,0.04585401266813278
tcga_brca_TP53,cptac_brca_TP53,TP53,swav,MeanAveragePooling,0.030574868,0.025027152,-0.018109817802906037,0.07942109256982803
tcga_brca_TP53,cptac_brca_TP53,TP53,swav,AttentionMIL,-0.0112203965,0.031710397,-0.06668815910816192,0.06052094101905823
tcga_brca_TP53,cptac_brca_TP53,TP53,dino_p16,Transformer,0.01389187,0.034115404,-0.04951323866844177,0.08333331346511841
tcga_brca_TP53,cptac_brca_TP53,TP53,dino_p16,MeanAveragePooling,0.06428644,0.060494747,-0.015634375810623168,0.2062670528888702
tcga_brca_TP53,cptac_brca_TP53,TP53,dino_p16,AttentionMIL,0.033260632,0.034690365,-0.04502370059490204,0.09848985522985458
