model,,,,AttentionMIL,AttentionMIL,MeanAveragePooling,MeanAveragePooling,Transformer,Transformer
stats,,,,mean,std,mean,std,mean,std
high,none,vitl,CDH1,0.0,0.0,,,,
high,none,vitl,KRAS,0.0,0.0,,,,
high,none,vitl,MSI,0.0,0.0,,,,
high,none,vitl,PIK3CA,0.0,0.0,,,,
high,none,vitl,SMAD4,0.0,0.0,,,,
high,none,vitl,TP53,0.0,0.0,,,,
high,none,vitl,lymph,0.0,0.0,,,,
high,none,vitl,subtype,0.0,0.0,,,,
high,none,vits,BRAF,0.0,0.0,,,,
high,none,vits,CDH1,0.0,0.0,,,,
high,none,vits,KRAS,0.0,0.0,,,,
high,none,vits,MSI,0.0,0.0,,,,
high,none,vits,PIK3CA,0.0,0.0,,,,
high,none,vits,SMAD4,0.0,0.0,,,,
high,none,vits,TP53,0.0,0.0,,,,
high,none,vits,lymph,0.0,0.0,,,,
high,none,vits,subtype,0.0,0.0,,,,
low,Macenko_patchwise,bt,BRAF,0.1504042603969574,0.07767413731159581,0.01689360523223877,0.0159158487674426,0.01110904598236084,0.016802804738701434
low,Macenko_patchwise,bt,CDH1,0.016881786823272706,0.020148362994436016,0.028418051242828368,0.020248859392055736,0.0052313079833984375,0.007372107439409958
low,Macenko_patchwise,bt,KRAS,0.06845570611953736,0.05713013874081394,0.008226726531982422,0.018741660617058405,0.08165017175674438,0.05582488990380778
low,Macenko_patchwise,bt,MSI,0.28096709251403806,0.07537101496858094,0.06255145072937011,0.0357317261203837,0.0,0.0
low,Macenko_patchwise,bt,PIK3CA,0.0806800103187561,0.030714847381585163,0.01759427547454834,0.02294357007197081,0.011622867584228515,0.01868843147028482
low,Macenko_patchwise,bt,SMAD4,0.13647565150260926,0.07803375950866469,0.018069576263427735,0.026393022458925938,0.06468564176559448,0.06089225559458641
low,Macenko_patchwise,bt,TP53,0.008267116069793702,0.01554271737136767,0.10557349872589111,0.045144754016743525,0.02605611038208008,0.02909927994662427
low,Macenko_patchwise,bt,lymph,0.2038749964237213,0.13395398732871344,0.19934042406082153,0.11844775236803015,0.005322513103485108,0.018132061702389086
low,Macenko_patchwise,bt,subtype,0.08683511734008789,0.04027172361157517,0.03970674991607666,0.03791620208857125,0.006596167087554932,0.01295107389829479
low,Macenko_patchwise,ctranspath,BRAF,0.04615425157546997,0.032372682728641786,0.021619680404663087,0.03209903622005748,0.05306915330886841,0.05442341774623401
low,Macenko_patchwise,ctranspath,CDH1,0.017484868526458742,0.027805391027958308,0.0323335657119751,0.02208301783154314,0.03644548749923706,0.032170419982043556
low,Macenko_patchwise,ctranspath,KRAS,0.01839187717437744,0.022140421467026262,0.039487993478775026,0.047853423398070756,0.03156759119033813,0.030601818464248007
low,Macenko_patchwise,ctranspath,MSI,0.05499590015411377,0.05457147224820211,0.01739298677444458,0.018979545072160955,0.0231028733253479,0.035068151001784495
low,Macenko_patchwise,ctranspath,PIK3CA,0.02221485185623169,0.018020603794237942,0.009243438720703125,0.015346253587304218,0.03210056829452514,0.029512747617615912
low,Macenko_patchwise,ctranspath,SMAD4,0.0063099231719970705,0.010210909431449432,0.015924104690551756,0.014559819049698955,0.03319165372848511,0.05041160293262423
low,Macenko_patchwise,ctranspath,TP53,0.01898989677429199,0.021882466125067574,0.09878785610198974,0.022147043683239002,0.005213248729705811,0.010065545351687355
low,Macenko_patchwise,ctranspath,lymph,0.022085356712341322,0.04170808289982635,0.23100383281707765,0.10142682379588082,0.04930573701858522,0.06858038983202486
low,Macenko_patchwise,ctranspath,subtype,0.012911080360412597,0.015772350245538812,0.021524142265319825,0.01880728427256,0.021015225887298584,0.024217208260945
low,Macenko_patchwise,dino_p16,BRAF,0.06404788541793824,0.06298705498386752,0.006135643005371094,0.012521463572289586,0.12156115818023681,0.08453177680754302
low,Macenko_patchwise,dino_p16,CDH1,0.002741285800933838,0.006616893486434166,0.039977153778076174,0.016999270473363207,0.029183300971984863,0.033266800413130466
low,Macenko_patchwise,dino_p16,KRAS,0.024094603061676025,0.029136707886038154,0.021354351043701172,0.02869006325914957,0.05333635568618775,0.03453409393306885
low,Macenko_patchwise,dino_p16,MSI,0.013008235454559366,0.01978888086678975,0.049890969753265374,0.03413617045093658,0.028543196678161572,0.03373700645822151
low,Macenko_patchwise,dino_p16,PIK3CA,0.015093718528747559,0.018710048079361528,0.05026513195037842,0.024183171630412906,0.016922269821166992,0.02276717580012162
low,Macenko_patchwise,dino_p16,SMAD4,0.02089817810058594,0.026833533618337048,0.030955090999603273,0.026569845000376808,0.043352308750152585,0.0514135294778382
low,Macenko_patchwise,dino_p16,TP53,0.024601566791534423,0.025318740428803752,0.11607179641723633,0.043065703180263565,0.0013411879539489747,0.002870760425986056
low,Macenko_patchwise,dino_p16,lymph,0.04461757898330687,0.053242496406274195,0.1602321720123291,0.13357974950891804,0.02565860509872437,0.04287569967182643
low,Macenko_patchwise,dino_p16,subtype,0.02019722080230713,0.019890559510862077,0.0309723219871521,0.017126615935892653,0.010251327514648438,0.01698750232002065
low,Macenko_patchwise,mocov2,BRAF,0.07526594161987304,0.04842652200093967,0.0018617010116577148,0.00885282422311589,0.13829787731170654,0.040933780840070204
low,Macenko_patchwise,mocov2,CDH1,0.017329527854919435,0.01194642722886769,0.0014528889656066895,0.003221352175556203,0.03320616674423218,0.033107123396648425
low,Macenko_patchwise,mocov2,KRAS,0.00823574161529541,0.014666001906359898,0.02223725414276123,0.021350018668307474,0.05237985944747925,0.042460405051008794
low,Macenko_patchwise,mocov2,MSI,0.07101851654052735,0.048353296515574275,0.015565859794616698,0.019430727471667963,0.04843618822097778,0.04845889198202146
low,Macenko_patchwise,mocov2,PIK3CA,0.04634857177734375,0.027196871171618658,0.043605709075927736,0.018345573054876104,0.0007771492004394531,0.002655191205258179
low,Macenko_patchwise,mocov2,SMAD4,0.028422520637512206,0.03320286862585108,0.004260597705841064,0.005951338813296806,0.046322582244873046,0.05459028892786954
low,Macenko_patchwise,mocov2,TP53,0.0,0.0,0.12087539434432984,0.009862835011735715,0.058361399173736575,0.03038946017925507
low,Macenko_patchwise,mocov2,lymph,0.03869733619689941,0.05447977452610025,0.16417437601089477,0.12049296360327208,0.0384840350151062,0.04258489096579065
low,Macenko_patchwise,mocov2,subtype,0.059756214618682864,0.03071633233910423,0.00813180923461914,0.016336097878057537,0.0342581582069397,0.02068458755466113
low,Macenko_patchwise,owkin,BRAF,0.048465429306030275,0.03804130085635011,0.007973419189453126,0.016437273805804998,0.02585903263092041,0.024559032433104096
low,Macenko_patchwise,owkin,CDH1,0.010334681510925293,0.009593554949648586,0.005537401676177978,0.008318892880709493,0.03888977670669556,0.0245765098772494
low,Macenko_patchwise,owkin,KRAS,0.03305407238006592,0.04336735654116554,0.02430778217315674,0.026013620015139512,0.030801815509796143,0.04820863442406274
low,Macenko_patchwise,owkin,MSI,0.02554525327682495,0.034013850500170056,0.019372429370880146,0.028130837087070468,0.04313785028457643,0.030878825815394677
low,Macenko_patchwise,owkin,PIK3CA,0.010405692100524902,0.013159358572625979,0.05397715234756471,0.03809444454412931,0.015320011615753174,0.022428036634831915
low,Macenko_patchwise,owkin,SMAD4,0.040660347938537594,0.0476992366072999,0.07272866010665893,0.06581614867133885,0.02623906373977661,0.033025364739973175
low,Macenko_patchwise,owkin,TP53,0.03318744897842407,0.03174561670752383,0.14870375394821167,0.03469263558253713,0.009197521209716796,0.020015303208863584
low,Macenko_patchwise,owkin,lymph,0.05283514070510864,0.07916216626840336,0.19178601312637328,0.14600177639870113,0.036068699836730944,0.05057094022980566
low,Macenko_patchwise,owkin,subtype,0.03565340518951416,0.02645671068591162,0.045739405155181885,0.023442427359840458,0.001300792694091797,0.004868803500230384
low,Macenko_patchwise,owkin_teacher,BRAF,0.05193616199493408,0.02842682310739905,0.05599200773239136,0.051487659078328925,0.007986701011657715,0.017337870421627533
low,Macenko_patchwise,owkin_teacher,CDH1,0.020189624309539796,0.01696053292921356,0.004484289169311524,0.008174614094767135,0.02635752487182617,0.022130915250899295
low,Macenko_patchwise,owkin_teacher,KRAS,0.024669679164886476,0.033504947389119084,0.03101352071762085,0.03136503291748361,0.05289791440963745,0.050342626893456324
low,Macenko_patchwise,owkin_teacher,MSI,0.06260699892044067,0.054262344633506036,0.01759673023223875,0.027643230061116242,0.041722187042236285,0.046229103931556596
low,Macenko_patchwise,owkin_teacher,PIK3CA,0.025396579265594483,0.02392775023371491,0.030825119972229004,0.030176673402854702,0.03173940753936767,0.035879659257595196
low,Macenko_patchwise,owkin_teacher,SMAD4,0.07780389881134034,0.06620674048171764,0.06022012329101562,0.04622591542145157,0.025558496475219728,0.043936673886203405
low,Macenko_patchwise,owkin_teacher,TP53,0.006818175315856934,0.014171821321607072,0.19278898239135742,0.04604385357241879,0.023035919666290282,0.01851515693879837
low,Macenko_patchwise,owkin_teacher,lymph,0.03540254449844361,0.04933854674048739,0.16952118492126464,0.13427012714905376,0.051636298656463624,0.0758655878889331
low,Macenko_patchwise,owkin_teacher,subtype,0.06773745489120483,0.035029357592724505,0.031753248691558836,0.030050518139467845,0.003255385875701904,0.006658697705708443
low,Macenko_patchwise,resnet50,BRAF,0.0437473397254944,0.05254865311556911,0.0514601092338562,0.03873339289231158,0.02592820930480957,0.0376948602712546
low,Macenko_patchwise,resnet50,CDH1,0.08352026605606079,0.07125979986465403,0.040402063369750975,0.06163378808789617,0.06513077878952027,0.06199020383807009
low,Macenko_patchwise,resnet50,KRAS,0.10574324131011963,0.036861791991274456,0.0,0.0,0.11490241885185241,0.045079274735240205
low,Macenko_patchwise,resnet50,MSI,0.03941974210739136,0.031904148056349536,0.011539085388183594,0.023536920922664017,0.07398765850067139,0.059101781673584985
low,Macenko_patchwise,resnet50,PIK3CA,0.018731398582458494,0.024495192851037916,0.04904566526412964,0.02682869356415293,0.036845715045928956,0.049637553427819676
low,Macenko_patchwise,resnet50,SMAD4,0.05661225700378419,0.0647237313071968,0.0443415620326996,0.06905917410313983,0.21866161012649535,0.11386603793363895
low,Macenko_patchwise,resnet50,TP53,0.02175084114074707,0.04368347896590105,0.017962942123413084,0.014018194317844467,0.07969133615493774,0.038573513414587215
low,Macenko_patchwise,resnet50,lymph,0.05630488586425781,0.06789599361012813,0.17730852556228638,0.10703768861911142,0.03140230369567871,0.05403614748671534
low,Macenko_patchwise,resnet50,subtype,0.0863199234008789,0.023904892827152715,0.0,0.0,0.07187178134918212,0.048422798800422225
low,Macenko_patchwise,retccl,BRAF,0.06065690898895264,0.038306602925887744,0.019566492080688478,0.0314808070639157,0.056734029293060304,0.06020072544337081
low,Macenko_patchwise,retccl,CDH1,0.017685879707336427,0.021441074929928527,0.030364359855651855,0.02004557187101897,0.028422607421875,0.0257954280490617
low,Macenko_patchwise,retccl,KRAS,0.010435434341430664,0.020705638439416585,0.03926425790786743,0.045044103833904586,0.09024023628234863,0.04861262579343035
low,Macenko_patchwise,retccl,MSI,0.03296294832229614,0.030647555580045505,0.010329216957092284,0.01613707389384044,0.044331258773803714,0.03298709690123847
low,Macenko_patchwise,retccl,PIK3CA,0.0022114291191101076,0.005334180369135273,0.02352571630477905,0.01742108946024501,0.02909714126586914,0.017807851909922366
low,Macenko_patchwise,retccl,SMAD4,0.02696014738082886,0.033081379765906305,0.012918389797210694,0.023159114418382455,0.03119801378250122,0.029216934309344685
low,Macenko_patchwise,retccl,TP53,0.02113356113433838,0.03335659352615639,0.12416384935379028,0.03669195488893972,0.028681261539459227,0.03658533732049889
low,Macenko_patchwise,retccl,lymph,0.04890620231628418,0.07470046255975639,0.15791229724884034,0.0979251598633579,0.03671046018600465,0.052864414552959635
low,Macenko_patchwise,retccl,subtype,0.06719562530517578,0.03044771313373946,0.004232640266418457,0.008565421078181602,0.03612893342971802,0.022894231432827206
low,Macenko_patchwise,swav,BRAF,0.08001332378387452,0.047195728048410726,0.01425533390045166,0.020570132137360777,0.0727659592628479,0.10441410436743519
low,Macenko_patchwise,swav,CDH1,0.02752713441848755,0.03054367263685432,0.05117074728012085,0.020745419945131207,0.002284400463104248,0.005515784297909003
low,Macenko_patchwise,swav,KRAS,0.026447463035583495,0.039490096114850576,0.05403753519058228,0.04644191368219452,0.06041892170906067,0.053165719799062316
low,Macenko_patchwise,swav,MSI,0.04904115581512451,0.04788434575902069,0.04924688720703125,0.0402843786810784,0.004493824481964111,0.008724277769698733
low,Macenko_patchwise,swav,PIK3CA,0.010434296131134033,0.02242614636431991,0.09060571432113647,0.030377808387042713,0.030262842178344726,0.032403813313671134
low,Macenko_patchwise,swav,SMAD4,0.019906390190124513,0.028260383483567426,0.02332196283340454,0.024106500449948862,0.0373004322052002,0.021806301901719644
low,Macenko_patchwise,swav,TP53,0.017081949710845947,0.0271965464177888,0.10633557796478271,0.028035281132150047,0.009281692504882812,0.010990256282468743
low,Macenko_patchwise,swav,lymph,0.047155763626098635,0.06062184026435294,0.154180814743042,0.12115458511184772,0.038331331729888916,0.0514922206500848
low,Macenko_patchwise,swav,subtype,0.00957692813873291,0.012497482067016048,0.026947593212127686,0.012550935641786276,0.017862271785736083,0.022297042525130057
low,Macenko_patchwise,swin,BRAF,0.029856392383575438,0.04581894351313679,0.032316490650177,0.04221175564294669,0.13111966514587403,0.07368059394031513
low,Macenko_patchwise,swin,CDH1,0.0567492938041687,0.04296276279146972,0.015173027515411377,0.02070148797282918,0.03573273181915283,0.038901236763014164
low,Macenko_patchwise,swin,KRAS,0.07352850914001464,0.04578229302872813,0.0005555558204650879,0.0021891062488941485,0.11448197841644286,0.03873974203393335
low,Macenko_patchwise,swin,MSI,0.02347736358642578,0.0212250632743229,0.004341578483581543,0.010831686413658026,0.07646092176437377,0.04155601368897709
