feature_extractor,model,magnification,target,auroc_diff
swin,AttentionMIL,low,SMAD4,-0.09098637
swin,AttentionMIL,low,SMAD4,-0.06502777
swin,AttentionMIL,low,SMAD4,0.03585887
swin,AttentionMIL,low,SMAD4,-0.0044642687
swin,AttentionMIL,low,SMAD4,-0.030555546
swin,AttentionMIL,low,SMAD4,0.0027548075
swin,AttentionMIL,low,SMAD4,-0.053788304
swin,AttentionMIL,low,SMAD4,-0.052169442
swin,AttentionMIL,low,SMAD4,-0.051899374
swin,AttentionMIL,low,SMAD4,-0.068965554
swin,AttentionMIL,low,SMAD4,-0.09993672
swin,AttentionMIL,low,SMAD4,-0.112280756
swin,AttentionMIL,low,SMAD4,-0.05784577
swin,AttentionMIL,low,SMAD4,-0.052339375
swin,AttentionMIL,low,SMAD4,0.056680202
swin,AttentionMIL,low,SMAD4,-0.041237146
swin,AttentionMIL,low,SMAD4,-0.009000003
swin,AttentionMIL,low,SMAD4,-0.04241067
swin,AttentionMIL,low,SMAD4,0.019444406
swin,AttentionMIL,low,SMAD4,-0.0036232471
swin,AttentionMIL,low,SMAD4,0.057222247
swin,AttentionMIL,low,SMAD4,-0.0053192377
swin,AttentionMIL,low,SMAD4,0.06526309
swin,AttentionMIL,low,SMAD4,0.015292555
swin,AttentionMIL,low,SMAD4,0.03324461
swin,AttentionMIL,low,SMAD4,-0.03571427
swin,AttentionMIL,low,SMAD4,-0.055511475
swin,AttentionMIL,low,SMAD4,-0.038172245
swin,AttentionMIL,low,SMAD4,0.040178597
swin,AttentionMIL,low,SMAD4,-0.032777786
swin,AttentionMIL,low,SMAD4,0.017447233
swin,AttentionMIL,low,SMAD4,0.01561591
swin,AttentionMIL,low,SMAD4,-0.0036156774
swin,AttentionMIL,low,SMAD4,-0.009630859
swin,AttentionMIL,low,SMAD4,-0.007995963
swin,AttentionMIL,low,SMAD4,0.060088515
swin,AttentionMIL,low,SMAD4,0.0028070211
swin,AttentionMIL,low,SMAD4,-0.09042549
swin,AttentionMIL,low,SMAD4,-0.06344172
swin,AttentionMIL,low,SMAD4,-0.045691133
swin,AttentionMIL,low,SMAD4,-0.10943693
swin,AttentionMIL,low,SMAD4,-0.10099995
