augmentations,feature_extractor,model,target,train_dataset,test_dataset,auroc_diff
Macenko_patchwise,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.13727278
Macenko_patchwise,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.025462985
Macenko_patchwise,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.1792453
Macenko_patchwise,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.08077121
Macenko_patchwise,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.011437893
Macenko_patchwise,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.047619045
Macenko_patchwise,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.1726439
Macenko_patchwise,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.11736411
Macenko_patchwise,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.04078889
Macenko_patchwise,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.120375216
Macenko_patchwise,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.14031744
Macenko_patchwise,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.16307282
Macenko_patchwise,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.23723948
Macenko_patchwise,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.09194738
Macenko_patchwise,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.08631587
Macenko_patchwise,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.09100008
Macenko_patchwise,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.051
Macenko_patchwise,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.19110578
Macenko_patchwise,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.15372586
Macenko_patchwise,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.100000024
Macenko_patchwise,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.09973043
Macenko_patchwise,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.09717238
Macenko_patchwise,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.10222733
Macenko_patchwise,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.09549999
Macenko_patchwise,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.12844038
Macenko_patchwise,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.08909094
Macenko_patchwise,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.05864203
Macenko_patchwise,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.1785714
Macenko_patchwise,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.11151636
Macenko_patchwise,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.088779986
Macenko_patchwise,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.097777784
