magnification,target,train_dataset,test_dataset,model,feature_extractor,augmentations,seed,wandb_id,train_auroc,val_auroc,test_auroc,runtime
high,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,ctranspath,none,3,lo5671dp,0.8763687610626221,0.8225215673446655,0.7669903039932251,1339.954121351242
high,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,ctranspath,none,4,ivhrmvs7,0.8633327484130859,0.818642258644104,0.7101656198501587,3281.8132050037384
high,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,dino_p16,Macenko_patchwise,0,aqszilmu,0.8404282927513123,0.8452585935592651,0.7452883720397949,456.9758336544037
high,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,dino_p16,Macenko_patchwise,1,fhotmdef,0.8258299231529236,0.8698275685310364,0.7549971342086792,371.36676478385925
high,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,dino_p16,Macenko_patchwise,2,qd21ss8e,0.7961959838867188,0.8599137663841248,0.7430039644241333,352.93396735191345
high,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,dino_p16,Macenko_patchwise,3,4615jhex,0.8734663724899292,0.823168158531189,0.7609937191009521,506.3089392185211
high,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,dino_p16,Macenko_patchwise,4,rxqvmdls,0.8222250938415527,0.8299568891525269,0.707310140132904,421.7974083423615
high,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,dino_p16,none,0,8r705rrt,0.7675939798355103,0.8181034326553345,0.6984580159187317,919.7174229621888
high,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,dino_p16,none,1,halrpmh9,0.78293776512146,0.8670258522033691,0.6690462827682495,352.72915863990784
high,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,dino_p16,none,2,3eepq0fz,0.8342363238334656,0.8501077890396118,0.7141633033752441,2634.492063999176
high,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,dino_p16,none,3,p7y36626,0.8924148082733154,0.8432111740112305,0.7604226469993591,471.5389409065247
high,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,dino_p16,none,4,1bttj8sd,0.8156819343566895,0.8354525566101074,0.6793261170387268,352.6809480190277
high,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,mocov2,Macenko_patchwise,0,2269buuv,0.8355011940002441,0.8110991716384888,0.6050827503204346,1941.7086200714111
high,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,mocov2,Macenko_patchwise,1,ly5o5xwt,0.8161119818687439,0.7774784564971924,0.6818960905075073,1356.450288772583
high,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,mocov2,Macenko_patchwise,2,8u1hoqla,0.8444702625274658,0.832543134689331,0.6704740524291992,1348.557945728302
high,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,mocov2,Macenko_patchwise,3,r46yov2q,0.8536936640739441,0.8228448629379272,0.6716161966323853,1428.0766055583954
high,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,mocov2,Macenko_patchwise,4,3oy31dbj,0.8493005037307739,0.7822198867797852,0.6436322331428528,1425.75137925148
high,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,mocov2,none,0,gb2rosvm,0.8463263511657715,0.7953664064407349,0.6482009887695312,153496.51157569885
high,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,mocov2,none,1,qym4cgr9,0.8834637403488159,0.7948275804519653,0.6493432521820068,2022.9974348545072
high,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,mocov2,none,2,sgzkinmp,0.8370026350021362,0.8252155184745789,0.6830382347106934,135440.8674173355
high,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,mocov2,none,3,fa11e631,0.8518661260604858,0.8125,0.7053112387657166,1416.0843949317932
high,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,mocov2,none,4,ummbsuzr,0.8380346298217773,0.7969827651977539,0.6584808826446533,1429.7132613658905
high,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,owkin,Macenko_patchwise,0,vm5ggscd,0.8424205780029297,0.8464439511299133,0.8081096410751343,947.8889260292052
high,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,owkin,Macenko_patchwise,1,evmx6pa6,0.6758005619049072,0.8123922348022461,0.7538549900054932,794.6353874206543
high,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,owkin,Macenko_patchwise,2,itrmss2v,0.6388387680053711,0.8481680750846863,0.7235865592956543,8864.593153238297
